edw	59	1	1	0	1	1	0	1.498568587515545e-07	0.0	5	4	
edw	119	1	1	0	1	1	0	1.498568587515545e-07	0.0	5	4	
edw	84	1	1	0	1	1	0	1.498568587515545e-07	0.0	5	4	
edw	108	1	1	0	1	1	0	1.498568587515545e-07	0.0	5	4	
edw	55	1	1	0	1	1	0	1.498568587515545e-07	0.0	5	4	
edw	25	1	1	0	1	1	0	1.498568587515545e-07	0.0	5	4	
edw	118	1	1	0	1	1	0	1.498568587515545e-07	0.0	5	4	
edw	30	3	1	2	3	1	2	5.544703773807516e-06	0.0020161290322580645	3	2	
edw	50	1	1	0	1	1	0	1.498568587515545e-07	0.0	5	4	
edw	10	1	1	0	1	1	0	1.498568587515545e-07	0.0	5	4	
edw	24	1	1	0	1	1	0	1.498568587515545e-07	0.0	5	4	
mar	90	1	1	0	1	1	0	0.0004959329172076625	0.0	3	1	
mar	119	4	0	4	4	0	4	0.7999397954559602	0.0	1	1	
mar	75	1	1	0	1	1	0	0.0004959329172076625	0.0	3	1	
mar	30	3	0	3	3	0	3	0.6000788298212726	0.0	2	1	
mar	35	1	1	0	1	1	0	0.0004959329172076625	0.0	3	1	
mar	80	1	1	0	1	1	0	0.0004959329172076625	0.0	3	1	
mar	116	1	1	0	1	1	0	0.0004959329172076625	0.0	3	1	
mar	125	1	1	0	1	1	0	0.0004959329172076625	0.0	3	1	
mar	1	1	1	0	1	1	0	0.0004959329172076625	0.0	3	1	
eli	3	1	1	0	1	1	0	0.0004394311922492157	0.0	5	1	
eli	96	3	0	3	3	0	3	0.5000726967796081	0.0	2	1	
eli	39	1	1	0	1	1	0	0.0004394311922492157	0.0	5	1	
eli	106	1	1	0	1	1	0	0.0004394311922492157	0.0	5	1	
eli	2	1	1	0	1	1	0	0.0004394311922492157	0.0	5	1	
eli	32	1	0	1	1	0	1	0.1669838530547019	0.0	3	1	
eli	112	1	1	0	1	1	0	0.0004394311922492157	0.0	5	1	
eli	91	5	0	5	5	0	5	0.8331615405045137	0.0	1	1	
eli	93	1	1	0	1	1	0	0.0004394311922492157	0.0	5	1	
eli	115	1	1	0	1	1	0	0.0004394311922492157	0.0	5	1	
eli	7	1	0	1	1	0	1	0.1669838530547019	0.0	3	1	
eli	120	1	1	0	1	1	0	0.0004394311922492157	0.0	5	1	
eli	70	1	1	0	1	1	0	0.0004394311922492157	0.0	5	1	
eli	89	1	1	0	1	1	0	0.0004394311922492157	0.0	5	1	
all	49	1	1	0	1	1	0	5.6196325008569065e-08	0.0	9	5	
all	19	1	0	1	1	0	1	1.1239265001713818e-06	0.0	6	5	
all	3	1	1	0	1	1	0	5.6196325008569065e-08	0.0	9	5	
all	96	3	0	3	3	0	3	3.259386850497004e-06	0.0	5	5	
all	39	1	1	0	1	1	0	5.6196325008569065e-08	0.0	9	5	
all	106	1	1	0	1	1	0	5.6196325008569065e-08	0.0	9	5	
all	2	1	1	0	1	1	0	5.6196325008569065e-08	0.0	9	5	
all	32	1	0	1	1	0	1	1.1239265001713818e-06	0.0	6	5	
all	112	1	1	0	1	1	0	5.6196325008569065e-08	0.0	9	5	
all	91	35	1	34	55	1	54	0.7071126817539988	0.015294117647058823	1	1	
all	93	1	1	0	1	1	0	5.6196325008569065e-08	0.0	9	5	
all	115	1	1	0	1	1	0	5.6196325008569065e-08	0.0	9	5	
all	7	5	1	4	6	2	4	0.7071008805257477	0.000784313725490196	2	4	
all	120	1	1	0	1	1	0	5.6196325008569065e-08	0.0	9	5	
all	70	1	1	0	1	1	0	5.6196325008569065e-08	0.0	9	5	
all	89	1	1	0	2	2	0	5.6196325008569065e-08	0.0	9	5	
all	67	1	1	0	4	4	0	5.6196325008569065e-08	0.0	9	5	
all	14	2	2	0	4	4	0	5.6196325008569065e-08	0.0	9	5	
all	117	1	1	0	1	1	0	5.6196325008569065e-08	0.0	9	5	
all	86	1	1	0	1	1	0	5.6196325008569065e-08	0.0	9	5	
all	60	1	1	0	1	1	0	5.6196325008569065e-08	0.0	9	5	
all	111	1	1	0	1	1	0	5.6196325008569065e-08	0.0	9	5	
all	12	1	1	0	1	1	0	5.6196325008569065e-08	0.0	9	5	
all	114	2	2	0	4	4	0	5.6196325008569065e-08	0.0	9	5	
all	43	2	2	0	4	4	0	5.6196325008569065e-08	0.0	9	5	
all	63	2	1	1	2	1	1	1.1239265001713818e-06	0.0	6	5	
all	105	1	1	0	1	1	0	5.6196325008569065e-08	0.0	9	5	
all	21	1	1	0	6	6	0	5.6196325008569065e-08	0.0	9	5	
all	46	1	1	0	1	1	0	5.6196325008569065e-08	0.0	9	5	
all	72	1	1	0	1	1	0	5.6196325008569065e-08	0.0	9	5	
all	17	1	1	0	3	3	0	5.6196325008569065e-08	0.0	9	5	
all	65	1	1	0	1	1	0	5.6196325008569065e-08	0.0	9	5	
all	75	2	2	0	4	4	0	5.6196325008569065e-08	0.0	9	5	
